Ticker
RF
RSG
RMD
RHI
ROK
COL
ROP
ROST
RCL
CRM
SBAC
SCG
SLB
STX
SEE
SRE
SHW
SPG
SWKS
SLG
SNA
SO
LUV
SPGI
SWK
SBUX
STT
SRCL
SYK
STI
SIVB
SYMC
SYF
SNPS
SYY
TROW
TTWO
TPR
TGT
TEL
FTI
TXN
TXT
TMO
TIF
TWTR
TWX
TJX
TMK
TSS
TSCO
TDG
TRV
TRIP
FOXA
FOX
TSN
UDR
ULTA
USB
UAA
UA
UNP
UAL
UNH
UPS
URI
UTX
UHS
UNM
VFC
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VIAB
V
VNO
VMC
WMT
WBA
DIS
WM
WAT
WEC
WFC
WELL
WDC
WU
WRK
WY
WHR
WMB
WLTW
WYNN
XEL
